n,x,v
1,0.1,-0.000979366
2,0.099999,-0.00195873
3,0.0999971,-0.00293809
4,0.0999941,-0.00391743
5,0.0999902,-0.00489673
6,0.0999853,-0.005876
7,0.0999794,-0.00685523
8,0.0999726,-0.00783439
9,0.0999647,-0.00881349
10,0.0999559,-0.00979251
11,0.0999461,-0.0107714
12,0.0999354,-0.0117503
13,0.0999236,-0.012729
14,0.0999109,-0.0137076
15,0.0998972,-0.0146861
16,0.0998825,-0.0156645
17,0.0998668,-0.0166427
18,0.0998502,-0.0176208
19,0.0998326,-0.0185987
20,0.099814,-0.0195764
21,0.0997944,-0.020554
22,0.0997738,-0.0215313
23,0.0997523,-0.0225085
24,0.0997298,-0.0234854
25,0.0997063,-0.0244622
26,0.0996818,-0.0254387
27,0.0996564,-0.0264149
28,0.09963,-0.0273909
29,0.0996026,-0.0283667
30,0.0995742,-0.0293422
31,0.0995449,-0.0303174
32,0.0995146,-0.0312923
33,0.0994833,-0.0322669
34,0.099451,-0.0332413
35,0.0994178,-0.0342153
36,0.0993836,-0.0351889
37,0.0993484,-0.0361623
38,0.0993122,-0.0371353
39,0.0992751,-0.038108
40,0.099237,-0.0390802
41,0.0991979,-0.0400522
42,0.0991578,-0.0410237
43,0.0991168,-0.0419948
44,0.0990748,-0.0429656
45,0.0990319,-0.0439359
46,0.0989879,-0.0449058
47,0.098943,-0.0458753
48,0.0988971,-0.0468444
49,0.0988503,-0.047813
50,0.0988025,-0.0487811
51,0.0987537,-0.0497488
52,0.0987039,-0.050716
53,0.0986532,-0.0516827
54,0.0986015,-0.0526489
55,0.0985489,-0.0536146
56,0.0984953,-0.0545798
57,0.0984407,-0.0555445
58,0.0983852,-0.0565087
59,0.0983287,-0.0574723
60,0.0982712,-0.0584353
61,0.0982127,-0.0593978
62,0.0981533,-0.0603597
63,0.098093,-0.0613211
64,0.0980317,-0.0622818
65,0.0979694,-0.063242
66,0.0979061,-0.0642015
67,0.0978419,-0.0651604
68,0.0977768,-0.0661187
69,0.0977107,-0.0670764
70,0.0976436,-0.0680334
71,0.0975756,-0.0689898
72,0.0975066,-0.0699455
73,0.0974366,-0.0709005
74,0.0973657,-0.0718548
75,0.0972939,-0.0728085
76,0.0972211,-0.0737614
77,0.0971473,-0.0747137
78,0.0970726,-0.0756652
79,0.0969969,-0.076616
80,0.0969203,-0.077566
81,0.0968427,-0.0785153
82,0.0967642,-0.0794639
83,0.0966848,-0.0804116
84,0.0966043,-0.0813586
85,0.096523,-0.0823049
86,0.0964407,-0.0832503
87,0.0963574,-0.0841949
88,0.0962732,-0.0851387
89,0.0961881,-0.0860817
90,0.096102,-0.0870238
91,0.096015,-0.0879651
92,0.095927,-0.0889056
93,0.0958381,-0.0898452
94,0.0957483,-0.0907839
95,0.0956575,-0.0917218
96,0.0955658,-0.0926588
97,0.0954731,-0.0935948
98,0.0953795,-0.09453
99,0.095285,-0.0954643
100,0.0951895,-0.0963976
101,0.0950931,-0.09733
