n,x,v
1,0.785398,-0.0346836
2,0.785225,-0.0693672
3,0.784878,-0.104045
4,0.784358,-0.13871
5,0.783664,-0.173358
6,0.782797,-0.207981
7,0.781757,-0.242574
8,0.780545,-0.277132
9,0.779159,-0.311646
10,0.777601,-0.346113
11,0.77587,-0.380525
12,0.773967,-0.414877
13,0.771893,-0.449161
14,0.769647,-0.483373
15,0.76723,-0.517506
16,0.764643,-0.551554
17,0.761885,-0.585511
18,0.758958,-0.619369
19,0.755861,-0.653124
20,0.752595,-0.686768
21,0.749161,-0.720295
22,0.74556,-0.753699
23,0.741791,-0.786974
24,0.737856,-0.820113
25,0.733756,-0.853109
26,0.72949,-0.885956
27,0.725061,-0.918647
28,0.720467,-0.951176
29,0.715711,-0.983536
30,0.710794,-1.01572
31,0.705715,-1.04772
32,0.700477,-1.07954
33,0.695079,-1.11115
34,0.689523,-1.14257
35,0.68381,-1.17377
36,0.677941,-1.20476
37,0.671918,-1.23552
38,0.66574,-1.26605
39,0.65941,-1.29635
40,0.652928,-1.3264
41,0.646296,-1.3562
42,0.639515,-1.38574
43,0.632586,-1.41501
44,0.625511,-1.44401
45,0.618291,-1.47273
46,0.610928,-1.50116
47,0.603422,-1.5293
48,0.595775,-1.55713
49,0.58799,-1.58466
50,0.580066,-1.61186
51,0.572007,-1.63875
52,0.563813,-1.6653
53,0.555487,-1.69151
54,0.547029,-1.71738
55,0.538442,-1.74289
56,0.529728,-1.76805
57,0.520888,-1.79283
58,0.511923,-1.81724
59,0.502837,-1.84127
60,0.493631,-1.86491
61,0.484306,-1.88815
62,0.474866,-1.91098
63,0.465311,-1.93341
64,0.455644,-1.95542
65,0.445867,-1.977
66,0.435982,-1.99816
67,0.425991,-2.01887
68,0.415896,-2.03914
69,0.405701,-2.05896
70,0.395406,-2.07831
71,0.385014,-2.09721
72,0.374528,-2.11563
73,0.36395,-2.13357
74,0.353282,-2.15103
75,0.342527,-2.168
76,0.331687,-2.18448
77,0.320765,-2.20045
78,0.309762,-2.21592
79,0.298683,-2.23087
80,0.287529,-2.2453
81,0.276302,-2.25921
82,0.265006,-2.27259
83,0.253643,-2.28544
84,0.242216,-2.29775
85,0.230727,-2.30951
86,0.21918,-2.32073
87,0.207576,-2.33139
88,0.195919,-2.3415
89,0.184211,-2.35105
90,0.172456,-2.36003
91,0.160656,-2.36845
92,0.148814,-2.3763
93,0.136932,-2.38357
94,0.125014,-2.39027
95,0.113063,-2.39638
96,0.101081,-2.40192
97,0.0890716,-2.40687
98,0.0770373,-2.41123
99,0.0649811,-2.415
100,0.0529061,-2.41819
101,0.0408152,-2.42078
102,0.0287113,-2.42278
103,0.0165973,-2.42419
104,0.00447637,-2.42501
105,-0.00764866,-2.42523
106,-0.0197748,-2.42485
107,-0.031899,-2.42388
108,-0.0440184,-2.42232
109,-0.05613,-2.42016
110,-0.0682308,-2.41741
111,-0.0803179,-2.41406
112,-0.0923882,-2.41013
113,-0.104439,-2.4056
114,-0.116467,-2.40049
115,-0.128469,-2.39479
116,-0.140443,-2.3885
117,-0.152386,-2.38164
118,-0.164294,-2.37419
119,-0.176165,-2.36617
120,-0.187996,-2.35757
121,-0.199784,-2.34841
122,-0.211526,-2.33867
123,-0.223219,-2.32837
124,-0.234861,-2.31752
125,-0.246448,-2.3061
126,-0.257979,-2.29414
127,-0.26945,-2.28162
128,-0.280858,-2.26856
129,-0.292201,-2.25497
130,-0.303475,-2.24084
131,-0.31468,-2.22618
132,-0.325811,-2.211
133,-0.336866,-2.1953
134,-0.347842,-2.17909
135,-0.358737,-2.16237
136,-0.369549,-2.14515
137,-0.380275,-2.12743
138,-0.390912,-2.10922
139,-0.401458,-2.09053
140,-0.411911,-2.07137
141,-0.422268,-2.05173
142,-0.432526,-2.03163
143,-0.442685,-2.01107
144,-0.45274,-1.99006
145,-0.46269,-1.9686
146,-0.472533,-1.94671
147,-0.482267,-1.92438
148,-0.491889,-1.90163
149,-0.501397,-1.87847
150,-0.510789,-1.85489
151,-0.520064,-1.83091
152,-0.529218,-1.80654
153,-0.538251,-1.78177
154,-0.54716,-1.75663
155,-0.555943,-1.73111
156,-0.564598,-1.70522
157,-0.573125,-1.67898
158,-0.581519,-1.65238
159,-0.589781,-1.62544
160,-0.597909,-1.59816
161,-0.605899,-1.57055
162,-0.613752,-1.54261
163,-0.621465,-1.51436
164,-0.629037,-1.4858
165,-0.636466,-1.45695
166,-0.643751,-1.42779
167,-0.65089,-1.39835
168,-0.657881,-1.36863
169,-0.664725,-1.33864
170,-0.671418,-1.30839
171,-0.67796,-1.27787
172,-0.684349,-1.24711
173,-0.690585,-1.2161
174,-0.696665,-1.18486
175,-0.702589,-1.15338
176,-0.708356,-1.12169
177,-0.713965,-1.08977
178,-0.719414,-1.05766
179,-0.724702,-1.02533
180,-0.729829,-0.992818
181,-0.734793,-0.960114
182,-0.739593,-0.92723
183,-0.744229,-0.894171
184,-0.7487,-0.860944
185,-0.753005,-0.827556
186,-0.757143,-0.794014
187,-0.761113,-0.760324
188,-0.764914,-0.726493
189,-0.768547,-0.692527
190,-0.77201,-0.658433
191,-0.775302,-0.624217
192,-0.778423,-0.589885
193,-0.781372,-0.555444
194,-0.784149,-0.520901
195,-0.786754,-0.48626
196,-0.789185,-0.45153
197,-0.791443,-0.416715
198,-0.793526,-0.381823
199,-0.795436,-0.346858
200,-0.79717,-0.311828
201,-0.798729,-0.276739
